@RELATION <40-flow-features>

@ATTRIBUTE srcip STRING
@ATTRIBUTE srcport NUMERIC
@ATTRIBUTE dstip STRING
@ATTRIBUTE dstport NUMERIC
@ATTRIBUTE proto NUMERIC
@ATTRIBUTE total_fpackets NUMERIC
@ATTRIBUTE total_fvolume NUMERIC
@ATTRIBUTE total_bpackets NUMERIC
@ATTRIBUTE total_bvolume NUMERIC
@ATTRIBUTE min_fpktl NUMERIC
@ATTRIBUTE mean_fpktl NUMERIC
@ATTRIBUTE max_fpktl NUMERIC
@ATTRIBUTE std_fpktl NUMERIC
@ATTRIBUTE min_bpktl NUMERIC
@ATTRIBUTE mean_bpktl NUMERIC
@ATTRIBUTE max_bpktl NUMERIC
@ATTRIBUTE std_bpktl NUMERIC
@ATTRIBUTE min_fiat NUMERIC
@ATTRIBUTE mean_fiat NUMERIC
@ATTRIBUTE max_fiat NUMERIC
@ATTRIBUTE std_fiat NUMERIC
@ATTRIBUTE min_biat NUMERIC
@ATTRIBUTE mean_biat NUMERIC
@ATTRIBUTE max_biat NUMERIC
@ATTRIBUTE std_biat NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE min_active NUMERIC
@ATTRIBUTE mean_active NUMERIC
@ATTRIBUTE max_active NUMERIC
@ATTRIBUTE std_active NUMERIC
@ATTRIBUTE min_idle NUMERIC
@ATTRIBUTE mean_idle NUMERIC
@ATTRIBUTE max_idle NUMERIC
@ATTRIBUTE std_idle NUMERIC
@ATTRIBUTE sflow_fpackets NUMERIC
@ATTRIBUTE sflow_fbytes NUMERIC
@ATTRIBUTE sflow_bpackets NUMERIC
@ATTRIBUTE sflow_bbytes NUMERIC
@ATTRIBUTE fpsh_cnt NUMERIC
@ATTRIBUTE bpsh_cnt NUMERIC
@ATTRIBUTE furg_cnt NUMERIC
@ATTRIBUTE burg_cnt NUMERIC
@ATTRIBUTE total_fhlen NUMERIC
@ATTRIBUTE total_bhlen NUMERIC

@DATA
192.168.1.166,53716,89.30.121.150,80,6,8,2270,5,558,52,283,1500,499,52,111,317,115,62,166716,336162,156825,55021,222811,279593,111861,1167013,1167013,1167013,1167013,0,0,0,0,0,8,2270,5,558,2,2,0,0,424,268
192.168.1.193,3872,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,3798,10966,19702,6732,60,10857,20741,11073,44846,44846,44846,44846,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,4024,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,51,7388,19655,7571,227,7596,22259,10194,47460,47460,47460,47460,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,4023,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,40,8610,19833,9041,55,8543,33893,13527,52382,52382,52382,52382,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,3876,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,1073,3307,7384,2806,83,3291,5097,2261,14152,14152,14152,14152,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,4027,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,1460,6530,15119,6052,35,7201,25556,10329,44020,44020,44020,44020,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,4030,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,39,8731,16209,6239,58,7748,23655,11630,53154,53154,53154,53154,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,4028,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,52,12029,35746,13623,36,11877,49700,19738,73096,73096,73096,73096,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,4032,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,76,4321,8733,3265,59,4696,15105,6168,28983,28983,28983,28983,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,4033,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,70,5255,9187,3753,66,4794,11230,4817,34677,34677,34677,34677,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,4034,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,52,5427,14954,6034,32,4616,10804,5011,34727,34727,34727,34727,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.249,40108,104.98.5.24,80,6,6,552,4,529,52,92,284,94,52,132,365,155,122,42194,203398,90124,3808,69131,199460,112868,210972,210972,210972,210972,0,0,0,0,0,6,552,4,529,1,1,0,0,320,216
192.168.1.193,3975,192.168.1.223,49153,6,5,464,5,461,52,92,248,86,52,92,245,85,77,44368,170867,84359,78,2861,5592,2473,180490,180490,180490,180490,0,0,0,0,0,5,464,5,461,1,1,0,0,268,268
192.168.1.193,3976,192.168.1.223,49153,6,5,466,5,461,52,93,250,87,52,92,245,85,77,2548,5066,2460,57,2170,3563,1540,11101,11101,11101,11101,0,0,0,0,0,5,466,5,461,1,1,0,0,268,268
192.168.1.193,4377,192.168.1.249,49152,6,6,506,5,1438,52,84,238,75,52,287,1222,522,80,5026,11286,4582,91,6362,15152,7228,26683,26683,26683,26683,0,0,0,0,0,6,506,5,1438,1,1,0,0,320,268
192.168.1.193,4378,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,2725,5818,9965,3192,54,5735,15196,7245,24161,24161,24161,24161,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,3980,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,75,4610,9960,3899,106,4568,17781,6910,28410,28410,28410,28410,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,3984,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,53,5037,11977,4561,64,4909,13574,5902,30881,30881,30881,30881,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,3986,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,65,5367,12974,4978,64,5062,14752,5965,33141,33141,33141,33141,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,3987,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,78,2763,6894,2986,89,2234,6520,2668,17795,17795,17795,17795,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,3983,192.168.1.223,49153,6,5,420,5,506,52,84,204,67,52,101,290,105,4061,44091,158771,76464,75,44539,155884,74439,179590,179590,179590,179590,0,0,0,0,0,5,420,5,506,1,1,0,0,268,268
192.168.1.223,3363,192.168.1.193,49154,6,7,691,5,461,52,98,239,78,52,92,245,85,509,6447,12146,4704,2008,7547,17595,6903,38682,38682,38682,38682,0,0,0,0,0,7,691,5,461,2,1,0,0,372,268
192.168.1.223,3364,192.168.1.193,49154,6,7,699,6,513,52,99,239,80,52,85,245,78,61,6448,15585,5849,2168,6782,18208,6782,38692,38692,38692,38692,0,0,0,0,0,7,699,6,513,2,1,0,0,372,320
192.168.1.223,3366,192.168.1.193,49154,6,7,784,5,461,52,112,277,100,52,92,245,85,604,4212,11031,3768,1940,5181,10951,4027,25277,25277,25277,25277,0,0,0,0,0,7,784,5,461,2,1,0,0,372,268
192.168.1.223,3365,192.168.1.193,49154,6,7,691,6,513,52,98,239,78,52,85,245,78,156,5951,14703,6123,78,6673,12073,5205,36670,36670,36670,36670,0,0,0,0,0,7,691,6,513,2,1,0,0,372,320
192.168.1.193,3988,192.168.1.223,49153,6,6,474,5,506,52,79,206,62,52,101,290,105,72,205132,1006132,447801,1210,255603,964948,473374,1025663,1025663,1025663,1025663,0,0,0,0,0,6,474,5,506,1,1,0,0,320,268
192.168.1.223,3367,192.168.1.193,49154,6,7,764,6,513,52,109,257,95,52,85,245,78,64,2191,5908,2258,454,2711,4627,1769,14322,14322,14322,14322,0,0,0,0,0,7,764,6,513,2,1,0,0,372,320
192.168.1.193,4389,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,56,6243,12252,4980,75,6521,15508,7429,27107,27107,27107,27107,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,4390,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,1516,9176,17209,6733,65,8262,19519,9689,42062,42062,42062,42062,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,3992,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,76,7255,17510,6501,64,5894,17701,7823,44628,44628,44628,44628,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,3994,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,103,6319,16874,5995,38,5700,18650,8061,40483,40483,40483,40483,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,3995,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,67,6976,15903,5575,57,6503,21238,10048,42652,42652,42652,42652,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,3997,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,70,3803,7028,3075,61,3994,11382,5035,24810,24810,24810,24810,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.249,40110,104.98.5.24,80,6,7,616,5,589,52,88,284,86,52,117,365,138,96,38994,223465,90395,3934,57672,217821,106766,233965,233965,233965,233965,0,0,0,0,0,7,616,5,589,1,1,0,0,384,276
192.168.1.177,59685,176.31.232.79,443,6,13,1517,13,5524,52,116,394,125,52,424,1500,581,393,223115,436840,205661,70,268834,935645,299296,68361251,1418003,1731534,2045066,443400,64898182,64898182,64898182,0,6,758,6,2762,3,6,0,0,684,684
192.168.1.193,4364,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,3802,7835,15807,5421,60,7480,20565,9592,32680,32680,32680,32680,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,4363,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,4143,9360,18178,6103,70,9290,23459,10900,38301,38301,38301,38301,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,4366,192.168.1.249,49152,6,6,506,5,1438,52,84,238,75,52,287,1222,522,2261,3629,6692,1832,642,4211,7591,3709,20081,20081,20081,20081,0,0,0,0,0,6,506,5,1438,1,1,0,0,320,268
192.168.1.193,4367,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,690,5706,13399,5652,61,5063,8917,4274,23707,23707,23707,23707,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,4045,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,687,4322,8613,2742,64,4208,14526,5727,26932,26932,26932,26932,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,4047,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,57,3980,9827,3788,63,4008,11161,5098,24885,24885,24885,24885,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,4049,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,60,8298,29969,10946,61,8359,33964,13329,51886,51886,51886,51886,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,4050,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,67,4884,8060,2929,40,4776,13642,6046,30037,30037,30037,30037,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.166,45136,192.168.1.1,53,17,1,65,1,270,65,65,65,0,270,270,270,0,0,0,0,0,0,0,0,0,284601,284601,284601,284601,0,0,0,0,0,1,65,1,270,0,0,0,0,28,20
